user_id,product_id,action,timestamp
user_0001,64,search,2026-04-20T07:50:45.958108+00:00
user_0002,89,order,2026-04-20T07:50:45.958140+00:00
user_0003,72,view,2026-04-20T07:50:45.958213+00:00
user_0004,21,order,2026-04-20T07:50:45.958267+00:00
user_0005,58,add_to_cart,2026-04-20T07:50:45.958329+00:00
user_0006,43,chat_message,2026-04-20T07:50:45.958420+00:00
user_0007,97,checkout,2026-04-20T07:50:45.958511+00:00
user_0008,35,view,2026-04-20T07:50:45.958549+00:00
user_0009,34,view,2026-04-20T07:50:45.958641+00:00
user_0010,63,search,2026-04-20T07:50:45.960734+00:00
user_0011,38,add_to_cart,2026-04-20T07:50:45.960799+00:00
user_0012,59,view,2026-04-20T07:50:45.960892+00:00
user_0013,96,search,2026-04-20T07:50:45.960938+00:00
user_0014,27,click,2026-04-20T07:50:45.960976+00:00
user_0015,47,click,2026-04-20T07:50:45.961049+00:00
user_0016,53,search,2026-04-20T07:50:45.961117+00:00
user_0017,10,add_to_cart,2026-04-20T07:50:45.961180+00:00
user_0018,52,order,2026-04-20T07:50:45.961217+00:00
user_0019,83,checkout,2026-04-20T07:50:45.961327+00:00
user_0020,39,order,2026-04-20T07:50:45.962338+00:00
user_0021,24,add_to_cart,2026-04-20T07:50:45.962372+00:00
user_0022,76,chat_message,2026-04-20T07:50:45.962412+00:00
user_0023,8,view,2026-04-20T07:50:45.962444+00:00
user_0024,66,view,2026-04-20T07:50:45.962522+00:00
user_0025,15,click,2026-04-20T07:50:45.962606+00:00
user_0026,38,review,2026-04-20T07:50:45.962669+00:00
user_0027,58,chat_message,2026-04-20T07:50:45.962800+00:00
user_0028,52,checkout,2026-04-20T07:50:45.962848+00:00
user_0029,29,add_to_cart,2026-04-20T07:50:45.962896+00:00
user_0030,63,order,2026-04-20T07:50:45.962951+00:00
user_0031,62,checkout,2026-04-20T07:50:45.964020+00:00
user_0032,95,add_to_cart,2026-04-20T07:50:45.964062+00:00
user_0033,19,search,2026-04-20T07:50:45.964158+00:00
user_0034,76,add_to_cart,2026-04-20T07:50:45.964204+00:00
user_0035,63,view,2026-04-20T07:50:45.964267+00:00
user_0036,33,checkout,2026-04-20T07:50:45.964345+00:00
user_0037,8,click,2026-04-20T07:50:45.964430+00:00
user_0038,39,add_to_cart,2026-04-20T07:50:45.964516+00:00
user_0039,23,search,2026-04-20T07:50:45.964587+00:00
user_0040,64,click,2026-04-20T07:50:45.964657+00:00
user_0041,53,order,2026-04-20T07:50:45.965661+00:00
user_0042,1,search,2026-04-20T07:50:45.965732+00:00
user_0043,40,add_to_cart,2026-04-20T07:50:45.965771+00:00
user_0044,49,review,2026-04-20T07:50:45.965864+00:00
user_0045,46,click,2026-04-20T07:50:45.965941+00:00
user_0046,12,view,2026-04-20T07:50:45.966002+00:00
user_0047,25,click,2026-04-20T07:50:45.966095+00:00
user_0048,47,chat_message,2026-04-20T07:50:45.966141+00:00
user_0049,22,review,2026-04-20T07:50:45.966234+00:00
user_0050,77,review,2026-04-20T07:50:45.967202+00:00
user_0051,19,add_to_cart,2026-04-20T07:50:45.967291+00:00
user_0052,12,click,2026-04-20T07:50:45.967322+00:00
user_0053,26,review,2026-04-20T07:50:45.967363+00:00
user_0054,5,checkout,2026-04-20T07:50:45.967448+00:00
user_0055,20,chat_message,2026-04-20T07:50:45.967528+00:00
user_0056,48,review,2026-04-20T07:50:45.967607+00:00
user_0057,98,chat_message,2026-04-20T07:50:45.967670+00:00
user_0058,83,add_to_cart,2026-04-20T07:50:45.967739+00:00
user_0059,7,add_to_cart,2026-04-20T07:50:45.967817+00:00
user_0060,51,chat_message,2026-04-20T07:50:45.968836+00:00
user_0061,31,order,2026-04-20T07:50:45.968914+00:00
user_0062,1,review,2026-04-20T07:50:45.968944+00:00
user_0063,23,checkout,2026-04-20T07:50:45.968992+00:00
user_0064,72,add_to_cart,2026-04-20T07:50:45.969062+00:00
user_0065,79,review,2026-04-20T07:50:45.969117+00:00
user_0066,71,click,2026-04-20T07:50:45.969196+00:00
user_0067,87,order,2026-04-20T07:50:45.969227+00:00
user_0068,81,view,2026-04-20T07:50:45.969273+00:00
user_0069,40,click,2026-04-20T07:50:45.969304+00:00
user_0070,52,add_to_cart,2026-04-20T07:50:45.969383+00:00
user_0071,99,review,2026-04-20T07:50:45.970924+00:00
user_0072,70,click,2026-04-20T07:50:45.970975+00:00
user_0073,64,review,2026-04-20T07:50:45.971031+00:00
user_0074,51,click,2026-04-20T07:50:45.971063+00:00
user_0075,7,view,2026-04-20T07:50:45.971126+00:00
user_0076,22,search,2026-04-20T07:50:45.971220+00:00
user_0077,97,order,2026-04-20T07:50:45.971284+00:00
user_0078,34,add_to_cart,2026-04-20T07:50:45.971315+00:00
user_0079,67,view,2026-04-20T07:50:45.971369+00:00
user_0080,15,checkout,2026-04-20T07:50:45.971432+00:00
user_0081,84,order,2026-04-20T07:50:45.971479+00:00
user_0082,83,add_to_cart,2026-04-20T07:50:45.972570+00:00
user_0083,32,view,2026-04-20T07:50:45.972619+00:00
user_0084,79,chat_message,2026-04-20T07:50:45.972667+00:00
user_0085,21,chat_message,2026-04-20T07:50:45.972729+00:00
